episode,duration_s,idle_start_s,idle_end_s,pause_s,n_pauses,short_idle_s,active_s,left_active_s,right_active_s,both_active_s,left_path_rad,right_path_rad,left_reversals,right_reversals,left_grip_events,right_grip_events,idle_s,idle_frac,action_lag_frames
178,40.0000,1.2667,0.0000,1.1333,3,1.5000,36.1000,8.8333,31.6333,4.3667,5.4851,20.5153,4,49,4,6,3.9000,0.0975,2
179,40.0333,0.1333,0.9667,4.1000,8,0.9333,33.9000,11.7667,26.5333,4.4000,6.1923,16.5194,6,33,4,6,6.1333,0.1532,2
180,40.0000,1.4000,0.0000,4.0333,7,2.2000,32.3667,7.2667,27.6667,2.5667,4.0409,18.7767,2,35,2,6,7.6333,0.1908,2
181,40.0000,0.0000,0.0000,4.0667,10,1.4000,34.5333,8.1333,29.0000,2.6000,4.7423,17.2358,8,43,4,6,5.4667,0.1367,2
182,40.0000,0.4667,0.5000,7.2333,11,0.7000,31.1000,8.1000,25.6333,2.6333,4.9255,17.1866,8,34,2,4,8.9000,0.2225,2
183,40.0000,0.5667,0.0000,6.3000,10,0.7667,32.3667,6.7333,26.5667,0.9333,3.0326,13.8553,1,25,3,6,7.6333,0.1908,3
184,40.0000,2.0667,0.0000,4.8000,11,1.4333,31.7000,7.8667,26.1000,2.2667,4.0369,16.0919,2,33,4,6,8.3000,0.2075,3
185,40.0000,1.7000,0.0000,4.2333,10,0.1667,33.9000,7.9000,29.7667,3.7667,4.7958,19.7513,3,44,4,6,6.1000,0.1525,3
186,40.0333,0.0000,0.0000,6.0333,10,1.2000,32.8000,7.8333,27.3333,2.3667,4.0874,18.1967,3,39,4,5,7.2333,0.1807,3
187,40.0000,0.0000,0.1667,5.5333,11,0.9000,33.4000,8.6333,27.5667,2.8000,5.1386,17.8853,4,39,4,6,6.6000,0.1650,3
188,40.0000,1.1000,0.3333,4.8000,9,0.8667,32.9000,9.4000,27.2000,3.7000,5.9521,16.1736,4,32,4,6,7.1000,0.1775,3
189,40.0000,0.6000,0.0000,3.9333,8,1.0000,34.4667,9.9333,27.1000,2.5667,4.7448,19.4260,6,34,4,6,5.5333,0.1383,3
190,40.0000,1.0333,0.0000,6.1333,10,0.8667,31.9667,6.2000,27.4000,1.6333,4.2043,15.3518,3,41,3,7,8.0333,0.2008,3
191,40.0000,0.0000,0.5333,2.5000,6,1.4667,35.5000,10.8667,29.7333,5.1000,6.1790,16.8545,6,38,2,6,4.5000,0.1125,3
192,40.0000,0.0000,0.0000,7.8000,12,0.7000,31.5000,8.9333,24.7333,2.1667,4.6838,15.3561,5,38,3,5,8.5000,0.2125,3
193,40.0000,0.0000,0.0000,4.3667,9,1.5333,34.1000,7.7333,29.1667,2.8000,4.9502,18.7003,3,48,4,5,5.9000,0.1475,3
194,40.0000,0.0000,3.8667,4.1667,7,1.7333,30.2333,9.2667,25.4333,4.4667,5.7434,15.6945,3,30,4,4,9.7667,0.2442,3
195,40.0000,1.3000,0.0000,2.1333,5,1.1667,35.4000,9.3667,30.1000,4.0667,6.0973,18.5398,5,34,4,6,4.6000,0.1150,3
196,40.0000,4.1333,1.0333,2.2667,5,1.3000,31.2667,9.4667,25.8333,4.0333,6.6233,17.3124,9,33,4,6,8.7333,0.2183,3
197,40.0000,2.3333,3.2667,2.4333,5,1.6667,30.3000,9.3333,26.8000,5.8333,5.8642,18.9507,3,35,4,6,9.7000,0.2425,3
198,40.0000,1.6000,2.8333,2.5333,5,1.3667,31.6667,10.7000,26.6000,5.6333,5.9417,17.8579,4,39,4,6,8.3333,0.2083,3
199,40.0333,1.0667,0.0000,3.9333,7,1.1000,33.9333,7.9000,28.8333,2.8000,4.3794,15.5888,6,35,4,6,6.1000,0.1524,3
200,40.0000,0.5667,1.7667,2.9000,7,1.3000,33.4667,9.8333,27.2333,3.6000,5.2442,17.2435,5,34,4,6,6.5333,0.1633,3
