episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
103,40.0000,39.3000,33.2333,1.2036,10,9,0.6690,1.2134,1.2592,0.7875,0.7497,5.0966,3.3296,3
104,40.0333,39.8667,35.3000,1.1341,7,6,0.9991,1.1833,1.5089,0.9551,0.7512,2.6541,2.2900,3
105,40.0000,39.0667,33.0667,1.2097,9,8,0.7107,1.1900,1.1079,0.8772,0.7144,6.4268,3.4715,3
106,40.0333,40.0333,37.5000,1.0676,6,5,0.5307,1.2245,1.0256,0.9818,0.6838,6.3761,3.6112,3
107,40.0000,39.8000,32.1000,1.2461,8,7,0.9813,1.4276,1.6949,0.9214,0.7830,2.0094,2.9736,3
108,40.0333,39.6333,36.1667,1.1069,4,3,0.4894,1.1022,1.0988,0.8658,0.7783,3.0244,3.8262,3
109,40.0333,40.0333,37.4000,1.0704,6,5,0.3904,1.1919,1.1380,0.8583,0.7493,9.8037,8.1177,3
110,40.0333,39.3667,32.3667,1.2369,11,10,0.7590,1.2013,1.4657,0.8462,0.7485,2.5537,2.1798,3
111,40.0333,38.0667,32.5333,1.2305,6,5,0.9949,1.3664,1.6745,0.8999,0.8119,2.2960,2.4472,3
112,40.0000,38.6667,32.8000,1.2195,10,9,0.9583,1.1529,1.4169,0.9361,0.7358,2.3938,2.0237,3
113,40.0333,38.8333,30.5000,1.3126,17,16,0.6317,1.0549,1.0378,0.7765,0.7521,5.7912,5.6937,3
114,40.0333,40.0333,34.2000,1.1706,13,12,0.7924,1.1395,1.4851,0.8738,0.7534,2.2688,2.2249,3
115,40.0333,40.0333,31.3333,1.2777,12,11,0.8723,1.2357,1.5116,0.8540,0.7619,1.9366,2.0239,3
116,40.0333,40.0333,34.7000,1.1537,9,8,0.6984,1.1329,1.0930,0.9201,0.7355,2.8491,4.1578,3
117,40.0000,38.1333,32.3000,1.2384,6,5,0.9938,1.2242,1.1393,0.9232,0.7583,2.7488,2.3805,3
118,40.0000,39.9333,34.4000,1.1628,7,6,0.7655,1.3602,1.5969,0.9335,0.7520,3.0058,2.6823,3
119,40.0000,40.0000,35.9000,1.1142,8,7,0.7790,1.3539,1.1684,0.9453,0.7401,2.8008,2.3848,3
120,40.0333,36.9667,26.9667,1.4845,11,10,0.8146,1.1249,1.2884,0.6464,0.7550,4.6303,3.2875,3
121,40.0000,39.2000,30.7000,1.3029,14,13,0.7058,1.0324,1.2762,0.6165,0.7539,5.5213,5.2273,3
