episode,duration_s,idle_start_s,idle_end_s,pause_s,n_pauses,short_idle_s,active_s,left_active_s,right_active_s,both_active_s,left_path_rad,right_path_rad,left_reversals,right_reversals,left_grip_events,right_grip_events,idle_s,idle_frac,action_lag_frames
66,40.0333,2.1000,0.0000,9.9667,15,0.9333,27.0333,12.1333,15.8333,0.9333,6.4258,7.2667,8,11,2,2,13.0000,0.3247,3
67,40.0000,0.0000,0.3667,6.8000,14,1.2333,31.6000,13.2667,18.6000,0.2667,8.3178,9.7967,16,17,2,3,8.4000,0.2100,3
68,40.0333,0.0000,0.8000,4.9667,10,1.6333,32.6333,13.6000,20.3667,1.3333,6.5257,8.5181,14,16,2,3,7.4000,0.1848,3
69,40.0333,1.2000,0.0000,3.2333,7,1.1000,34.5000,22.4667,13.1333,1.1000,10.2120,6.6031,25,9,4,2,5.5333,0.1382,3
70,40.0000,0.6667,0.0667,7.3667,13,0.2667,31.6333,25.8333,5.9000,0.1000,13.7729,3.3145,22,2,2,1,8.3667,0.2092,3
71,40.0333,0.1333,0.7667,8.7333,12,1.9333,28.4667,0.5667,28.0667,0.1667,0.3434,11.3001,0,29,0,4,11.5667,0.2889,3
72,40.0000,0.7000,0.0000,5.4333,10,1.7333,32.1333,0.1333,32.1333,0.1333,0.3284,15.2273,0,37,0,5,7.8667,0.1967,3
73,40.0333,0.0000,0.0000,3.3667,9,1.1000,35.5667,20.9000,20.9667,6.3000,10.8900,10.5062,19,19,2,2,4.4667,0.1116,3
74,40.0000,1.2333,0.0000,4.0333,7,1.8333,32.9000,18.8333,22.5000,8.4333,9.4635,10.6247,11,25,2,2,7.1000,0.1775,3
75,40.0333,0.3333,1.5667,2.4000,6,0.6667,35.0667,6.2333,34.4667,5.6333,1.2467,17.6951,0,41,0,6,4.9667,0.1241,3
76,40.0333,0.0000,1.6667,6.2667,10,1.3333,30.7667,2.8000,29.7667,1.8000,1.1370,14.6807,0,45,0,6,9.2667,0.2315,3
77,40.0000,0.0000,0.0000,4.4667,10,1.4667,34.0667,15.0667,20.3667,1.3667,8.5270,8.6926,13,25,2,2,5.9333,0.1483,3
78,40.0000,0.0000,2.6333,4.6667,9,0.9000,31.8000,1.2000,31.5667,0.9667,0.6516,14.2787,1,36,0,4,8.2000,0.2050,2
79,40.0333,0.0000,0.0000,4.9333,7,1.8333,33.2667,14.1000,20.8667,1.7000,9.0069,10.1643,12,29,2,4,6.7667,0.1690,3
80,40.0333,0.0000,0.4000,4.3000,10,2.0000,33.3333,32.3333,4.5667,3.5667,15.9341,1.4037,30,2,4,0,6.7000,0.1674,3
81,40.0333,0.3667,0.0000,5.2667,11,0.9667,33.4333,30.4667,4.8000,1.8333,16.4530,1.2425,35,0,4,0,6.6000,0.1649,3
82,40.0000,0.2000,0.0000,4.0333,8,1.2000,34.5667,15.1000,22.6333,3.1667,9.2416,11.9274,12,17,2,2,5.4333,0.1358,2
83,40.0333,0.0000,0.0000,5.6000,9,1.1000,33.3333,17.7333,20.2000,4.6000,8.2245,9.2838,15,26,2,2,6.7000,0.1674,3
84,40.0333,0.0000,0.0000,1.7667,5,2.1333,36.1333,19.0333,20.6333,3.5333,10.5271,9.1638,14,21,2,2,3.9000,0.0974,3
85,40.0000,0.7667,0.0000,3.7000,8,1.3000,34.2333,2.1000,33.8333,1.7000,0.8642,15.8386,0,40,0,4,5.7667,0.1442,3
86,40.0333,0.0000,0.3000,2.9667,6,1.5667,35.2000,19.0667,21.7667,5.6333,9.4849,12.9402,17,21,2,2,4.8333,0.1207,3
87,40.0333,0.0000,0.0000,6.5667,13,1.1333,32.3333,32.0333,1.9000,1.6000,16.8833,0.8881,31,0,4,0,7.7000,0.1923,3
88,40.0333,0.7667,0.4333,3.8000,8,1.5667,33.4667,10.5333,23.2333,0.3000,5.5162,11.9921,7,19,2,3,6.5667,0.1640,3
89,40.0000,0.0000,0.0000,4.8333,6,1.8667,33.3000,15.7333,19.3333,1.7667,7.7093,10.4920,13,28,2,2,6.7000,0.1675,3
90,40.0333,0.0000,0.2333,6.7333,13,1.5333,31.5333,15.7667,17.4000,1.6333,8.6088,8.6267,15,24,2,2,8.5000,0.2123,3
91,40.0000,0.0000,0.2000,6.0000,12,1.5000,32.3000,15.5333,18.5333,1.7667,7.0129,9.6650,17,25,2,2,7.7000,0.1925,3
92,40.0000,0.1667,0.9000,5.7333,12,0.8667,32.3333,0.6667,32.2000,0.5333,0.6403,13.8904,0,35,0,4,7.6667,0.1917,3
93,40.0000,0.4667,0.3000,8.6333,15,1.7333,28.8667,28.5333,0.3333,0.0000,13.0496,0.4113,33,0,3,0,11.1333,0.2783,3
94,40.0333,0.0000,0.0000,7.9333,12,0.4000,31.7000,10.3000,22.6000,1.2000,5.8530,11.0132,15,29,2,3,8.3333,0.2082,3
95,40.0333,0.0000,0.0000,7.7333,13,0.8667,31.4333,15.2000,19.4333,3.2000,8.2475,9.0018,15,20,2,2,8.6000,0.2148,3
96,40.0333,1.4667,0.0000,10.0333,15,1.4333,27.1000,11.2333,16.6667,0.8000,5.0664,7.7450,16,19,2,5,12.9333,0.3231,3
97,40.0333,0.8333,0.1333,6.1333,13,1.2333,31.7000,11.6333,22.6000,2.5333,5.9514,11.3951,10,20,2,4,8.3333,0.2082,3
98,40.0333,0.9333,0.0000,5.2333,10,2.2667,31.6000,14.2667,19.2667,1.9333,9.0564,7.3512,13,12,2,4,8.4333,0.2107,3
99,40.0000,3.2333,0.0000,2.3333,5,2.0000,32.4333,10.1667,23.3000,1.0333,4.7767,12.1896,10,23,2,4,7.5667,0.1892,3
100,40.0333,0.0000,0.1000,3.1000,8,0.8667,35.9667,16.1333,20.8667,1.0333,9.0848,12.8103,21,24,2,5,4.0667,0.1016,3
101,40.0333,0.8000,0.2000,2.6667,7,1.0667,35.3000,26.2000,12.3000,3.2000,14.5471,7.0468,30,15,4,1,4.7333,0.1182,3
102,40.0333,0.3333,0.0000,1.6667,4,0.6000,37.4333,25.5000,20.4667,8.5333,14.8682,12.5076,26,26,4,4,2.6000,0.0649,3
103,40.0000,0.5333,0.3667,5.1667,9,1.6333,32.3000,0.7000,31.9333,0.3333,0.4676,13.8878,1,30,0,5,7.7000,0.1925,3
104,40.0333,0.0000,0.2667,2.4667,6,2.0333,35.2667,20.7333,18.9000,4.3667,11.3513,9.8625,19,16,2,2,4.7667,0.1191,3
105,40.0000,1.0333,0.0000,3.6667,8,0.8333,34.4667,21.3667,14.3667,1.2667,11.6137,6.5767,20,13,5,2,5.5333,0.1383,3
106,40.0333,0.0000,0.0000,1.9333,5,0.7333,37.3667,13.3667,28.2667,4.2667,7.7606,14.5362,8,30,2,4,2.6667,0.0666,3
107,40.0000,0.3000,0.0000,6.6000,7,1.7333,31.3667,30.7333,1.4333,0.8000,16.1824,1.0366,37,1,7,0,8.6333,0.2158,3
108,40.0333,0.5000,0.0000,1.3333,3,1.1333,37.0667,37.0667,1.7333,1.7333,22.9269,0.9770,50,1,8,0,2.9667,0.0741,3
109,40.0333,0.0000,0.0000,2.3000,5,1.7333,36.0000,12.2333,27.5000,3.7333,6.2674,13.9156,11,32,2,4,4.0333,0.1007,3
110,40.0333,0.7667,0.0000,5.4333,10,0.9000,32.9333,20.7000,12.7000,0.4667,9.3462,6.9608,20,8,3,2,7.1000,0.1774,3
111,40.0333,2.0333,0.1333,2.7667,5,1.7333,33.3667,22.6667,14.3333,3.6333,11.7346,7.5407,30,10,2,2,6.6667,0.1665,3
112,40.0000,1.4333,0.0000,3.9000,9,1.1000,33.5667,12.3000,23.3333,2.0667,6.9923,10.9590,11,28,2,4,6.4333,0.1608,3
113,40.0333,1.3000,0.0000,9.8333,16,2.0000,26.9000,4.1333,23.5000,0.7333,1.6321,12.4169,3,24,1,6,13.1333,0.3281,3
114,40.0333,0.0000,0.0000,6.6333,12,0.9667,32.4333,12.8667,20.5667,1.0000,6.9624,10.9157,10,26,3,7,7.6000,0.1898,3
115,40.0333,0.0000,0.0000,5.8333,11,0.8000,33.4000,30.4667,5.3667,2.4333,15.3873,3.4397,54,1,4,1,6.6333,0.1657,3
116,40.0333,0.0000,0.0000,3.7667,8,1.5667,34.7000,25.4667,12.1333,2.9000,14.6606,6.0246,37,9,4,4,5.3333,0.1332,3
117,40.0000,1.9667,0.0000,2.5333,5,1.6333,33.8667,22.1667,13.9333,2.2333,12.8127,5.7030,24,8,2,4,6.1333,0.1533,3
118,40.0000,0.1667,0.0000,3.8000,6,2.2000,33.8333,18.0333,18.6000,2.8000,9.9826,11.1749,15,25,4,4,6.1667,0.1542,3
119,40.0000,0.0000,0.0000,2.7333,7,1.4333,35.8333,15.7333,20.3333,0.2333,11.6883,10.5892,18,22,2,5,4.1667,0.1042,3
120,40.0333,2.3667,0.9000,10.1667,10,0.4667,26.1333,18.5000,12.8667,5.2333,8.3813,5.3174,12,5,4,4,13.9000,0.3472,3
121,40.0000,0.4000,0.6000,7.5333,13,1.9333,29.5333,18.2667,19.0667,7.8000,6.7157,6.8653,13,13,2,4,10.4667,0.2617,3
122,40.0000,0.0000,0.0000,8.7333,17,1.4667,29.8000,17.8333,18.8333,6.8667,7.1487,6.6948,12,13,2,4,10.2000,0.2550,3
123,40.0333,0.0000,6.3000,4.7333,10,1.5667,27.4333,16.1333,16.6333,5.3333,7.3883,5.5825,13,11,4,4,12.6000,0.3147,3
124,40.0000,0.0000,0.0000,8.2667,15,3.5000,28.2333,16.7333,14.8333,3.3333,7.1783,5.1483,10,14,2,4,11.7667,0.2942,3
125,40.0333,0.2667,1.6000,7.6333,14,1.0667,29.4667,16.3000,16.7000,3.5333,7.7860,6.4188,15,12,2,4,10.5667,0.2639,3
126,40.0333,3.0000,0.0000,7.1333,11,2.6000,27.3000,16.1333,18.8000,7.6333,6.6604,7.6034,6,19,4,4,12.7333,0.3181,3
127,40.0000,0.7000,1.4333,4.6333,8,2.2000,31.0333,19.1667,17.5667,5.7000,8.1206,6.3709,12,21,2,4,8.9667,0.2242,3
128,40.0333,2.2000,0.0000,9.8667,13,1.7000,26.2667,12.5333,15.8333,2.1000,4.2580,5.5796,7,13,1,4,13.7667,0.3439,3
129,40.0000,0.0000,0.5667,11.4000,18,1.7667,26.2667,15.2000,14.5667,3.5000,5.8306,6.0323,10,12,4,4,13.7333,0.3433,3
130,40.0333,0.0000,1.1667,14.4667,16,1.1000,23.3000,13.0000,12.3667,2.0667,5.9244,4.5232,9,10,2,2,16.7333,0.4180,3
131,40.0000,1.3333,0.0000,12.7333,19,0.9000,25.0333,9.0000,16.2000,0.1667,4.2234,4.9839,5,16,1,4,14.9667,0.3742,3
132,40.0333,0.1333,0.0000,10.5000,17,2.5667,26.8333,14.4000,15.0333,2.6000,5.8356,5.8411,13,12,2,2,13.2000,0.3297,3
133,40.0333,3.2000,0.0000,10.3000,14,0.6333,25.9000,14.3000,12.8667,1.2667,6.3175,4.4498,7,12,2,4,14.1333,0.3530,3
134,40.0000,0.0000,0.0000,11.2667,21,1.2000,27.5333,14.6333,15.8333,2.9333,4.8282,7.1226,11,17,1,2,12.4667,0.3117,3
135,40.0000,0.0000,0.0000,11.8000,19,1.3000,26.9000,15.5000,16.4000,5.0000,6.9075,6.0484,14,11,2,4,13.1000,0.3275,3
136,40.0000,2.9667,0.6667,8.4000,16,0.7333,27.2333,17.0667,15.6667,5.5000,6.7912,5.6550,11,16,2,4,12.7667,0.3192,3
137,40.0000,1.6667,0.9000,9.8333,16,1.5333,26.0667,11.4333,16.2667,1.6333,4.4647,6.1624,8,9,3,4,13.9333,0.3483,3
138,40.0000,0.1667,0.3667,9.7667,16,1.0667,28.6333,16.7667,16.1000,4.2333,7.5016,6.4672,10,11,2,2,11.3667,0.2842,3
139,40.0333,0.0000,0.0000,6.6000,11,2.3667,31.0667,15.5667,16.8667,1.3667,7.5353,6.3748,9,14,2,4,8.9667,0.2240,3
140,40.0333,1.4333,0.0000,8.3333,13,1.8333,28.4333,15.6333,12.9667,0.1667,5.7094,6.1950,15,10,3,4,11.6000,0.2898,3
141,40.0000,0.0000,0.0000,9.7667,16,0.7667,29.4667,13.8667,17.4333,1.8333,7.0460,7.6958,17,13,2,4,10.5333,0.2633,3
142,40.0000,0.7333,0.0000,6.7333,7,2.5333,30.0000,15.1000,15.5333,0.6333,10.9979,6.8901,15,13,2,4,10.0000,0.2500,3
143,40.0333,0.0000,0.0000,8.1333,11,1.6333,30.2667,18.0000,13.0667,0.8000,6.9515,6.1529,11,16,3,4,9.7667,0.2440,3
144,40.0333,1.1000,0.0000,5.8000,10,2.6333,30.5000,18.4667,12.6333,0.6000,8.1992,7.7137,11,8,2,4,9.5333,0.2381,3
145,40.0000,0.0000,0.0000,7.0000,12,1.8000,31.2000,12.2000,22.6333,3.6333,5.8816,9.5350,10,17,2,6,8.8000,0.2200,3
146,40.0333,0.0000,0.0000,8.5333,14,1.9333,29.5667,13.9333,19.2667,3.6333,5.1560,6.8977,19,19,1,4,10.4667,0.2614,3
