episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max
171,40.0000,39.3667,35.2000,1.1364,9,8,0.7472,1.1452,1.1985,0.7613,0.6557,2.9020,2.1565
172,40.0333,40.0333,34.2333,1.1694,14,13,0.5414,1.0735,2.4338,0.8161,0.5809,7.1602,3.8276
173,40.0000,39.0667,32.3333,1.2371,11,10,0.6062,1.2736,1.2090,0.7494,0.6308,2.4332,2.2693
174,40.0333,39.2000,32.2000,1.2433,11,10,0.8033,1.1455,1.4784,0.7675,0.6692,2.6950,2.4060
175,40.0000,38.3667,33.7000,1.1869,12,11,0.2878,0.7630,1.3044,0.5423,0.6084,7.9802,4.7571
176,40.0333,40.0000,33.6333,1.1903,13,12,0.2636,1.0751,1.0834,0.6407,0.5109,5.8265,2.8996
177,40.0000,40.0000,33.4333,1.1964,11,10,0.5085,1.1327,1.0872,0.6534,0.6301,7.5039,3.9545
178,40.0333,39.1333,31.5000,1.2709,11,10,0.9513,1.1379,1.5130,0.7218,0.6554,2.4399,2.1066
179,40.0333,40.0333,34.9667,1.1449,14,13,0.2536,0.9942,1.0181,0.6582,0.5744,8.1938,3.8340
180,40.0000,38.9333,28.2333,1.4168,16,15,0.9469,1.0408,0.9954,0.5993,0.6141,1.3909,1.3912
181,40.0000,40.0000,30.6333,1.3058,14,13,0.9108,1.0073,1.0665,0.6190,0.6338,1.2369,1.3569
182,40.0000,39.7333,29.5333,1.3544,18,17,0.9379,1.0022,0.9991,0.6409,0.6226,1.2421,1.4575
183,40.0333,38.5000,30.6667,1.3054,13,12,0.6891,1.1268,1.5155,0.6501,0.6316,1.4683,1.8164
184,40.0000,39.1667,29.5667,1.3529,17,16,0.9662,1.0881,1.0878,0.6358,0.6370,1.6564,1.6019
185,40.0000,37.5000,29.9667,1.3348,12,11,0.7086,1.0172,0.8692,0.6566,0.6207,1.8147,1.8817
186,40.0000,38.5333,31.2667,1.2793,16,15,0.7974,1.0140,0.9757,0.6841,0.6304,1.3097,1.3552
187,40.0333,39.1333,31.4333,1.2736,13,12,0.6967,1.0096,1.0445,0.6470,0.6114,3.2450,1.8522
188,40.0333,39.1333,30.0333,1.3330,19,18,0.8380,1.0156,1.0455,0.6197,0.5816,1.5233,1.6352
189,40.0333,38.9667,30.3333,1.3198,15,14,0.9648,1.1499,1.0061,0.6250,0.6310,1.9073,1.8858
190,40.0333,39.2333,32.3333,1.2381,19,18,0.6856,1.0086,0.9344,0.5789,0.6014,2.2099,1.9584
191,40.0333,39.8333,33.2000,1.2058,15,14,0.4679,1.5043,1.1892,0.5929,0.6150,6.0910,3.5038
192,40.0000,39.6333,33.5333,1.1928,11,10,0.5586,1.0574,1.4924,0.6480,0.6774,4.2463,3.3145
193,40.0333,40.0333,34.2667,1.1683,9,8,0.8025,1.0879,1.1795,0.7908,0.6453,2.7891,2.6204
194,40.0000,40.0000,34.8000,1.1494,9,8,0.8448,1.0776,1.3228,0.7166,0.6684,2.1550,2.0635
195,40.0000,39.1333,29.3000,1.3652,17,16,0.7736,1.0105,0.9967,0.5893,0.6102,5.0023,3.0122
196,40.0333,40.0333,30.3000,1.3212,15,14,0.9120,1.1209,1.0646,0.7319,0.5968,1.9866,1.7102
197,40.0000,39.2333,33.5667,1.1917,13,12,0.7507,1.1400,1.3275,0.7156,0.6444,1.7381,1.8571
198,40.0333,40.0333,33.6000,1.1915,17,16,0.7738,1.0064,1.1578,0.6748,0.6291,1.4652,1.4812
199,40.0000,40.0000,33.4000,1.1976,14,13,0.8563,1.0649,1.2708,0.7140,0.6321,2.2527,2.0681
200,40.0000,40.0000,32.1333,1.2448,17,16,0.6795,1.2061,1.1787,0.7306,0.6098,3.2624,2.8909
201,40.0333,40.0333,33.6000,1.1915,17,16,0.4970,1.0246,1.0969,0.5779,0.6021,5.7627,2.8973
202,40.0333,39.0667,33.8667,1.1821,12,11,0.8130,1.1544,1.0530,0.7163,0.6487,2.2956,1.9600
203,40.0333,39.8000,34.2667,1.1683,19,18,0.5710,1.0401,0.9136,0.5698,0.6025,2.0688,1.8740
204,40.0333,38.8667,34.8333,1.1493,11,10,0.4297,1.1059,0.9395,0.6505,0.6352,2.7520,2.1204
205,40.0333,39.3000,35.5667,1.1256,11,10,0.3758,0.8845,1.1091,0.5615,0.5908,3.3686,3.7133
206,40.0000,38.8000,29.2333,1.3683,18,17,0.8951,1.0766,0.9844,0.7163,0.6178,1.8181,1.7191
207,40.0333,37.2333,29.9333,1.3374,11,10,0.6581,1.0498,0.9877,0.6629,0.6307,2.4046,2.0392
208,40.0000,40.0000,31.2000,1.2821,17,16,0.8697,1.0774,0.9677,0.7045,0.6270,1.7893,1.5003
209,40.0333,39.7667,31.4000,1.2749,17,16,0.8822,1.1115,1.0855,0.7251,0.6208,3.2644,2.6695
210,40.0333,40.0333,31.3333,1.2777,17,16,0.7777,1.0327,1.1471,0.6467,0.6267,1.7688,1.7200
211,40.0000,34.5000,26.7000,1.4981,19,18,0.9026,1.0238,1.3235,0.6999,0.6049,2.3977,1.9667
212,40.0333,40.0333,31.9333,1.2537,17,16,0.7537,1.1079,0.9274,0.7189,0.6274,2.1803,1.4671
213,40.0000,40.0000,32.9000,1.2158,14,13,0.8774,1.4285,1.0947,0.7149,0.6343,2.6126,2.5869
214,40.0333,40.0333,34.3000,1.1672,17,16,0.8494,1.0716,0.9112,0.7305,0.6559,2.3019,2.0358
215,40.0333,34.7000,28.2667,1.4163,12,11,0.9458,1.1227,1.0292,0.7660,0.6483,1.5177,1.7510
216,40.0333,39.4333,32.7667,1.2218,16,15,0.7325,1.0369,1.3362,0.6824,0.6490,2.0541,3.2756
217,40.0000,38.7000,32.2333,1.2410,13,12,0.8345,1.1310,1.5947,0.7169,0.7394,3.3390,3.1991
218,40.0000,38.8000,31.3000,1.2780,12,11,0.6656,1.0850,2.1593,0.6912,0.5996,5.0262,3.5554
219,40.0333,35.8667,30.5333,1.3111,10,9,0.3777,0.9915,0.9391,0.5637,0.5871,6.7714,5.5275
220,40.0333,38.5000,30.1000,1.3300,13,12,0.8671,1.2201,1.7158,0.6281,0.6137,2.2173,2.1782
221,40.0333,38.6333,30.8667,1.2970,15,14,0.9460,1.0519,1.2159,0.7045,0.6601,1.5146,1.4959
222,40.0333,40.0333,32.1000,1.2471,13,12,0.9512,1.8098,2.1941,0.6796,0.6579,2.4136,3.2022
223,40.0000,40.0000,30.6333,1.3058,15,14,0.8781,1.0959,1.1120,0.6970,0.6366,1.6023,2.1513
