episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
108,40.0333,39.6333,38.9333,1.0283,4,3,0.0188,0.2231,0.9267,0.1501,0.4084,3.0244,3.8262,3
109,40.0333,40.0333,38.8333,1.0309,6,5,0.0335,0.2458,0.3304,0.0921,0.2161,9.8037,8.1177,3
110,40.0333,39.3667,36.2667,1.1039,11,10,0.0744,0.3612,0.8188,0.1221,0.3442,2.5537,2.1798,3
111,40.0333,38.0667,36.4333,1.0988,6,5,0.0357,0.2190,0.7298,0.1078,0.2198,2.2960,2.4472,3
112,40.0000,38.6667,36.6667,1.0909,10,9,0.0609,0.2250,0.8244,0.0806,0.2942,2.3938,2.0237,3
113,40.0333,38.8333,33.0333,1.2119,17,16,0.1393,0.3371,1.0892,0.1271,0.2769,5.7912,5.6937,3
114,40.0333,40.0333,36.5000,1.0968,13,12,0.0959,0.2854,1.0505,0.0856,0.2541,2.2688,2.2249,3
115,40.0333,40.0333,36.7667,1.0888,12,11,0.0807,0.3718,0.8463,0.1110,0.2568,1.9366,2.0239,3
116,40.0333,40.0333,38.0333,1.0526,9,8,0.0543,0.1438,0.4441,0.0888,0.2002,2.8491,4.1578,3
117,40.0000,38.1333,36.7667,1.0879,6,5,0.0363,0.2392,0.8492,0.1178,0.2510,2.7488,2.3805,3
118,40.0000,39.9333,37.7667,1.0591,7,6,0.0485,0.1833,0.5094,0.0878,0.2684,3.0058,2.6823,3
119,40.0000,40.0000,38.5667,1.0372,8,7,0.0406,0.1355,0.8022,0.0980,0.2323,2.8008,2.3848,3
120,40.0333,36.9667,30.5000,1.3126,11,10,0.1333,0.2649,0.9284,0.0968,0.2403,4.6303,3.2875,3
121,40.0000,39.2000,35.3000,1.1331,14,13,0.1161,0.2594,0.6249,0.0909,0.2332,5.5213,5.2273,3
122,40.0000,40.0000,35.3667,1.1310,18,17,0.1320,0.3153,0.7570,0.1094,0.2477,1.9251,2.1030,3
123,40.0333,33.8333,31.3333,1.2777,11,10,0.0830,0.1828,0.6652,0.0801,0.2231,1.7168,1.6722,3
124,40.0000,40.0000,35.7333,1.1194,16,15,0.1259,0.3423,0.7164,0.1310,0.2664,4.3352,2.6961,3
125,40.0333,38.3667,34.6667,1.1548,15,14,0.1279,0.2991,1.0517,0.1153,0.2227,1.4735,1.6349,3
126,40.0333,37.1333,33.2000,1.2058,12,11,0.1074,0.2953,0.7400,0.1143,0.2686,4.0679,2.8482,3
127,40.0000,38.0667,35.5333,1.1257,9,8,0.0675,0.1804,0.7325,0.0897,0.2265,1.9362,1.6022,3
128,40.0333,37.9333,32.1000,1.2471,14,13,0.1391,0.3403,0.6429,0.1008,0.2151,2.5244,3.3284,3
129,40.0000,39.5333,33.0667,1.2097,19,18,0.1673,0.2750,0.5799,0.1143,0.2552,1.5340,1.4701,3
130,40.0333,38.9667,30.2333,1.3241,17,16,0.2084,0.2834,1.0856,0.1019,0.1821,1.4813,1.4382,3
131,40.0000,38.7667,31.5333,1.2685,20,19,0.1945,0.3652,0.9103,0.1007,0.2395,1.3705,1.3889,3
132,40.0333,40.0000,33.7667,1.1856,18,17,0.1441,0.2934,0.8832,0.0847,0.2372,1.3276,1.5850,3
133,40.0333,36.9333,31.0000,1.2914,15,14,0.1559,0.3133,0.6575,0.1007,0.2543,1.2946,1.4492,3
134,40.0000,40.0000,33.8000,1.1834,22,21,0.1716,0.3182,1.1637,0.1036,0.2907,4.2687,3.0470,3
135,40.0000,40.0000,33.4333,1.1964,20,19,0.1765,0.2555,1.0196,0.0976,0.2601,1.4561,1.5990,3
136,40.0000,36.5667,32.1667,1.2435,17,16,0.1420,0.2526,0.8496,0.0960,0.2402,1.7200,1.7667,3
137,40.0000,37.6333,31.9667,1.2513,17,16,0.1470,0.3821,0.9597,0.0984,0.3090,1.5728,1.7057,3
138,40.0000,39.6667,34.4333,1.1617,17,16,0.1471,0.2496,0.8171,0.0946,0.1997,3.3929,2.3516,3
139,40.0333,40.0333,36.4667,1.0978,12,11,0.0932,0.2639,0.9654,0.1079,0.2663,1.5543,1.6830,3
140,40.0333,38.7000,33.9333,1.1798,14,13,0.1189,0.2608,0.6808,0.1182,0.2596,1.4261,1.4645,3
141,40.0000,40.0000,34.4667,1.1605,17,16,0.1393,0.3347,0.8198,0.1269,0.2858,2.3928,3.3495,3
142,40.0000,39.3667,35.3667,1.1310,8,7,0.0839,0.2264,0.7608,0.1056,0.1947,2.4065,2.2922,3
